titulo,Cidade,salario,descricao
Desenvolvedor Java Júnior e Pleno,Blumenau,,"Oportunidades para amantes de Desenvolvimento, com experiência em Java, HTML, CSS, JavaScript e que estejam cursando o Ensino Superior a partir do 5º semestre. Realizar atividades de desenvolvimento e manutenção de Sistemas, incluindo: Modificar programas, alterar processos e codificação dos elementos. Realizar simulações e criar ambientes de produção, realizar testes em condições operacionais, visando verificar se o programa está sendo executado com excelência!"
Desenvolvedor Java JR e PL,Florianopolis,,Estamos contratando!
Desenvolvedor Júnior,Sorocaba,,Funções do cargo: Desenvolvimento C# .
Desenvolvedor Ruby,São Paulo,,"Buscamos profissionais de desenvolvimento de software para participarem ativamente dos nossos projetos web, criando e evoluindo aplicações em Ruby on Rails. Esperamos que o candidato seja proativo, que goste de navegar pelo código, estudar as funcionalidades e se aprofundar na arquitetura. É essencial que seja adepto da cultura colaborativa e se preocupe com a criação de testes automatizados."
Desenvolvedor Salesforce,Rio de Janeiro,,"Escrever código limpo, de fácil manutenção, utilizando as melhores práticas de desenvolvimento de Software. Procurar sempre criar a melhor experiência de uso para o usuário final, construindo serviços que abstraiam a complexidade tecnológica que os sustenta. Domínio do desenvolvimento Salesforce trabalhando com classes Apex, VF, triggers,"
Desenvolvedor React Júnior ou Pleno,Curitiba,,"Desenvolvemos sistemas integrados para Gestão e Operação em Tecnologia ITS (Intelligent Transportation Systems). Nossos equipamentos com tecnologia embarcada monitoram e fiscalizam vias urbanas e rodoviárias de forma inteligente e interconectada, permitindo uma gestão estratégico-operacional do tráfego e da segurança nas cidades e estradas."
Desenvolvedor Java,São Paulo,,"Identifica-se com os nossos valores. Já trabalhou no desenvolvimento de aplicações web. Experiência com algum banco de dados relacional,  testes automatizados e é habituado em trabalhar com pull requests. Tem noções de segurança para desenvolver código seguro. Conhece metodologias Ágeis.  Possuir experiência em Java. Conhecer Javascript, HTML e CSS, e tenha conhecimento com Twitter Bootstrap. O que terá de responsabilidade: Desenvolver novas funcionalidades e atuar na resolução de bugs das aplicações da Bionexo. Trabalhar em colaboração com outros times. Trazer boas práticas e conhecimentos técnicos para o dia a dia de trabalho. Compreender as necessidades dos usuários para ajudar a melhorar a eficiência dos fluxos de trabalho."
Desenvolvedor PHP PL,Florianopolis,,"Oportunidades para amantes de Desenvolvimento, com experiência em PHP, HTML, CSS e JavaScript que estejam cursando o Ensino Superior a partir do 5º semestre. Vaga para realizar atividades de desenvolvimento e manutenção de Sistemas, incluindo: Modificar programas, alterar processos e codificação dos elementos. Realizar simulações e criar ambientes de produção. Realizar testes em condições operacionais, visando verificar se o programa está sendo executado com excelência!"
Desenvolvedor ASP.NET,São Paulo,,"Desenvolvimento back end de sistemas de e-commerce em aspnet, utilizando mvc e webforms, desenvolvimento de API"
Desenvolvedor Java Web,Curitiba,,Será suas atividades:
Desenvolvedor(a) de Software Pleno,Blumenau,,Analisar e desenvolver funcionalidades do Roadmap tanto no Back-end como Front-end.
Desenvolvedor PHP Júnior,Porto Alegre,,Realizar testes e validação de códigos. Corrigir bugs e realizar propostas para melhorias sistêmicas. Prestar apoio técnico em tomadas de decisões junto com clientes internos e equipes. Participar de reuniões periódicas com equipes para entendimento dos projetos.
